clip_id,sample_id,session_id,material_english,material_chinese,class_id,force_n,split,slice_mode,phase,source_start_epoch,source_end_epoch,source_duration_s,window_stride_s,stretch_factor,stored_duration_s,audio_path,tactile_path,video_path
brass_000001,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151139.0000,1607151139.5000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000001.wav,dataset/tactile/brass/brass_tactile_000001.csv,dataset/video/brass/brass_video_000001.avi
brass_000002,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151139.1500,1607151139.6500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000002.wav,dataset/tactile/brass/brass_tactile_000002.csv,dataset/video/brass/brass_video_000002.avi
brass_000003,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151139.3000,1607151139.8000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000003.wav,dataset/tactile/brass/brass_tactile_000003.csv,dataset/video/brass/brass_video_000003.avi
brass_000004,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151139.4500,1607151139.9500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000004.wav,dataset/tactile/brass/brass_tactile_000004.csv,dataset/video/brass/brass_video_000004.avi
brass_000005,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151139.6000,1607151140.1000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000005.wav,dataset/tactile/brass/brass_tactile_000005.csv,dataset/video/brass/brass_video_000005.avi
brass_000006,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151139.7500,1607151140.2500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000006.wav,dataset/tactile/brass/brass_tactile_000006.csv,dataset/video/brass/brass_video_000006.avi
brass_000007,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151139.9000,1607151140.4000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000007.wav,dataset/tactile/brass/brass_tactile_000007.csv,dataset/video/brass/brass_video_000007.avi
brass_000008,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151140.0500,1607151140.5500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000008.wav,dataset/tactile/brass/brass_tactile_000008.csv,dataset/video/brass/brass_video_000008.avi
brass_000009,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151140.2000,1607151140.7000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000009.wav,dataset/tactile/brass/brass_tactile_000009.csv,dataset/video/brass/brass_video_000009.avi
brass_000010,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151140.3500,1607151140.8500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000010.wav,dataset/tactile/brass/brass_tactile_000010.csv,dataset/video/brass/brass_video_000010.avi
brass_000011,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151140.5000,1607151141.0000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000011.wav,dataset/tactile/brass/brass_tactile_000011.csv,dataset/video/brass/brass_video_000011.avi
brass_000012,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151140.6500,1607151141.1500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000012.wav,dataset/tactile/brass/brass_tactile_000012.csv,dataset/video/brass/brass_video_000012.avi
brass_000013,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151140.8000,1607151141.3000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000013.wav,dataset/tactile/brass/brass_tactile_000013.csv,dataset/video/brass/brass_video_000013.avi
brass_000014,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151140.9500,1607151141.4500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000014.wav,dataset/tactile/brass/brass_tactile_000014.csv,dataset/video/brass/brass_video_000014.avi
brass_000015,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151141.1000,1607151141.6000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000015.wav,dataset/tactile/brass/brass_tactile_000015.csv,dataset/video/brass/brass_video_000015.avi
brass_000016,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151141.2500,1607151141.7500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000016.wav,dataset/tactile/brass/brass_tactile_000016.csv,dataset/video/brass/brass_video_000016.avi
brass_000017,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151141.4000,1607151141.9000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000017.wav,dataset/tactile/brass/brass_tactile_000017.csv,dataset/video/brass/brass_video_000017.avi
brass_000018,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151141.5500,1607151142.0500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000018.wav,dataset/tactile/brass/brass_tactile_000018.csv,dataset/video/brass/brass_video_000018.avi
brass_000019,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151141.7000,1607151142.2000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000019.wav,dataset/tactile/brass/brass_tactile_000019.csv,dataset/video/brass/brass_video_000019.avi
brass_000020,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151141.8500,1607151142.3500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000020.wav,dataset/tactile/brass/brass_tactile_000020.csv,dataset/video/brass/brass_video_000020.avi
brass_000021,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151142.0000,1607151142.5000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000021.wav,dataset/tactile/brass/brass_tactile_000021.csv,dataset/video/brass/brass_video_000021.avi
brass_000022,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151142.1500,1607151142.6500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000022.wav,dataset/tactile/brass/brass_tactile_000022.csv,dataset/video/brass/brass_video_000022.avi
brass_000023,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151142.3000,1607151142.8000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000023.wav,dataset/tactile/brass/brass_tactile_000023.csv,dataset/video/brass/brass_video_000023.avi
brass_000024,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151142.4500,1607151142.9500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000024.wav,dataset/tactile/brass/brass_tactile_000024.csv,dataset/video/brass/brass_video_000024.avi
brass_000025,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151142.6000,1607151143.1000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000025.wav,dataset/tactile/brass/brass_tactile_000025.csv,dataset/video/brass/brass_video_000025.avi
brass_000026,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151142.7500,1607151143.2500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000026.wav,dataset/tactile/brass/brass_tactile_000026.csv,dataset/video/brass/brass_video_000026.avi
brass_000027,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151142.9000,1607151143.4000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000027.wav,dataset/tactile/brass/brass_tactile_000027.csv,dataset/video/brass/brass_video_000027.avi
brass_000028,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151143.0500,1607151143.5500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000028.wav,dataset/tactile/brass/brass_tactile_000028.csv,dataset/video/brass/brass_video_000028.avi
brass_000029,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151143.2000,1607151143.7000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000029.wav,dataset/tactile/brass/brass_tactile_000029.csv,dataset/video/brass/brass_video_000029.avi
brass_000030,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151143.3500,1607151143.8500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000030.wav,dataset/tactile/brass/brass_tactile_000030.csv,dataset/video/brass/brass_video_000030.avi
brass_000031,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151143.5000,1607151144.0000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000031.wav,dataset/tactile/brass/brass_tactile_000031.csv,dataset/video/brass/brass_video_000031.avi
brass_000032,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151143.6500,1607151144.1500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000032.wav,dataset/tactile/brass/brass_tactile_000032.csv,dataset/video/brass/brass_video_000032.avi
brass_000033,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151143.8000,1607151144.3000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000033.wav,dataset/tactile/brass/brass_tactile_000033.csv,dataset/video/brass/brass_video_000033.avi
brass_000034,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151143.9500,1607151144.4500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000034.wav,dataset/tactile/brass/brass_tactile_000034.csv,dataset/video/brass/brass_video_000034.avi
brass_000035,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151144.1000,1607151144.6000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000035.wav,dataset/tactile/brass/brass_tactile_000035.csv,dataset/video/brass/brass_video_000035.avi
brass_000036,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151144.2500,1607151144.7500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000036.wav,dataset/tactile/brass/brass_tactile_000036.csv,dataset/video/brass/brass_video_000036.avi
brass_000037,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151144.4000,1607151144.9000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000037.wav,dataset/tactile/brass/brass_tactile_000037.csv,dataset/video/brass/brass_video_000037.avi
brass_000038,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151144.5500,1607151145.0500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000038.wav,dataset/tactile/brass/brass_tactile_000038.csv,dataset/video/brass/brass_video_000038.avi
brass_000039,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151144.7000,1607151145.2000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000039.wav,dataset/tactile/brass/brass_tactile_000039.csv,dataset/video/brass/brass_video_000039.avi
brass_000040,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151144.8500,1607151145.3500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000040.wav,dataset/tactile/brass/brass_tactile_000040.csv,dataset/video/brass/brass_video_000040.avi
brass_000041,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151145.0000,1607151145.5000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000041.wav,dataset/tactile/brass/brass_tactile_000041.csv,dataset/video/brass/brass_video_000041.avi
brass_000042,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151145.1500,1607151145.6500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000042.wav,dataset/tactile/brass/brass_tactile_000042.csv,dataset/video/brass/brass_video_000042.avi
brass_000043,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151145.3000,1607151145.8000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000043.wav,dataset/tactile/brass/brass_tactile_000043.csv,dataset/video/brass/brass_video_000043.avi
brass_000044,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151145.4500,1607151145.9500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000044.wav,dataset/tactile/brass/brass_tactile_000044.csv,dataset/video/brass/brass_video_000044.avi
brass_000045,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151145.6000,1607151146.1000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000045.wav,dataset/tactile/brass/brass_tactile_000045.csv,dataset/video/brass/brass_video_000045.avi
brass_000046,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151145.7500,1607151146.2500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000046.wav,dataset/tactile/brass/brass_tactile_000046.csv,dataset/video/brass/brass_video_000046.avi
brass_000047,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151145.9000,1607151146.4000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000047.wav,dataset/tactile/brass/brass_tactile_000047.csv,dataset/video/brass/brass_video_000047.avi
brass_000048,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151146.0500,1607151146.5500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000048.wav,dataset/tactile/brass/brass_tactile_000048.csv,dataset/video/brass/brass_video_000048.avi
brass_000049,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151146.2000,1607151146.7000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000049.wav,dataset/tactile/brass/brass_tactile_000049.csv,dataset/video/brass/brass_video_000049.avi
brass_000050,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151146.3500,1607151146.8500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000050.wav,dataset/tactile/brass/brass_tactile_000050.csv,dataset/video/brass/brass_video_000050.avi
brass_000051,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151146.5000,1607151147.0000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000051.wav,dataset/tactile/brass/brass_tactile_000051.csv,dataset/video/brass/brass_video_000051.avi
brass_000052,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151146.6500,1607151147.1500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000052.wav,dataset/tactile/brass/brass_tactile_000052.csv,dataset/video/brass/brass_video_000052.avi
brass_000053,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151146.8000,1607151147.3000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000053.wav,dataset/tactile/brass/brass_tactile_000053.csv,dataset/video/brass/brass_video_000053.avi
brass_000054,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151146.9500,1607151147.4500,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000054.wav,dataset/tactile/brass/brass_tactile_000054.csv,dataset/video/brass/brass_video_000054.avi
brass_000055,VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,黄铜,0,3,train,idle,idle,1607151147.1000,1607151147.6000,0.500,0.150,4.0,2.000,dataset/audio/brass/brass_audio_000055.wav,dataset/tactile/brass/brass_tactile_000055.csv,dataset/video/brass/brass_video_000055.avi
