sample_id,session_id,material_english,material_pinyin,material_chinese,class_id,force_n,path_type,camera_view,slice_mode,phase,parent_cycle,segment_label,split,start_epoch,end_epoch,duration_s,audio_path,tactile_path,video_path
VisTouch_brass_f3_r1_v1_idle01,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,idle,idle,,idle01,train,1607151139.000,1607151147.920,8.920,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_idle01.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_idle01.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_idle01.avi
VisTouch_brass_f3_r1_v1_seg01a,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,half,rise,seg01,seg01a,train,1607151147.920,1607151154.360,6.440,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_seg01a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_seg01a.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_seg01a.avi
VisTouch_brass_f3_r1_v1_seg01b,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,half,fall,seg01,seg01b,train,1607151154.360,1607151158.300,3.940,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_seg01b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_seg01b.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_seg01b.avi
VisTouch_brass_f3_r1_v1_seg02a,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,half,rise,seg02,seg02a,train,1607151158.300,1607151164.680,6.380,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_seg02a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_seg02a.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_seg02a.avi
VisTouch_brass_f3_r1_v1_seg02b,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,half,fall,seg02,seg02b,train,1607151164.680,1607151168.620,3.940,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_seg02b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_seg02b.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_seg02b.avi
VisTouch_brass_f3_r1_v1_seg03a,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,half,rise,seg03,seg03a,train,1607151168.620,1607151174.980,6.360,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_seg03a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_seg03a.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_seg03a.avi
VisTouch_brass_f3_r1_v1_seg03b,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,half,fall,seg03,seg03b,train,1607151174.980,1607151178.940,3.960,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_seg03b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_seg03b.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_seg03b.avi
VisTouch_brass_f3_r1_v1_seg04a,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,half,rise,seg04,seg04a,train,1607151178.940,1607151185.330,6.390,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_seg04a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_seg04a.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_seg04a.avi
VisTouch_brass_f3_r1_v1_seg04b,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,half,fall,seg04,seg04b,train,1607151185.330,1607151189.260,3.930,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_seg04b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_seg04b.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_seg04b.avi
VisTouch_brass_f3_r1_v1_seg05a,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,half,rise,seg05,seg05a,train,1607151189.260,1607151195.640,6.380,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_seg05a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_seg05a.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_seg05a.avi
VisTouch_brass_f3_r1_v1_seg05b,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,half,fall,seg05,seg05b,train,1607151195.640,1607151199.580,3.940,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_seg05b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_seg05b.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_seg05b.avi
VisTouch_brass_f3_r1_v1_idle02,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,idle,idle,,idle02,train,1607151199.580,1607151206.665,7.085,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_idle02.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_idle02.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_idle02.avi
VisTouch_brass_f3_r1_v1_idle03,brass_f3_r1_v1,brass,huangtong,黄铜,0,3,1,1,idle,idle,,idle03,train,1607151206.665,1607151213.750,7.085,../dataset20260818/audio/brass/VisTouch_brass_f3_r1_v1_idle03.wav,../dataset20260818/tactile/brass/VisTouch_brass_f3_r1_v1_idle03.csv,../dataset20260818/video/brass/VisTouch_brass_f3_r1_v1_idle03.avi
VisTouch_brass_f6_r1_v1_idle01,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,idle,idle,,idle01,train,1607151367.000,1607151373.160,6.160,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_idle01.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_idle01.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_idle01.avi
VisTouch_brass_f6_r1_v1_seg01a,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,half,rise,seg01,seg01a,train,1607151373.160,1607151379.530,6.370,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_seg01a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_seg01a.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_seg01a.avi
VisTouch_brass_f6_r1_v1_seg01b,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,half,fall,seg01,seg01b,train,1607151379.530,1607151383.420,3.890,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_seg01b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_seg01b.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_seg01b.avi
VisTouch_brass_f6_r1_v1_seg02a,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,half,rise,seg02,seg02a,train,1607151383.420,1607151389.780,6.360,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_seg02a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_seg02a.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_seg02a.avi
VisTouch_brass_f6_r1_v1_seg02b,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,half,fall,seg02,seg02b,train,1607151389.780,1607151393.680,3.900,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_seg02b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_seg02b.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_seg02b.avi
VisTouch_brass_f6_r1_v1_seg03a,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,half,rise,seg03,seg03a,train,1607151393.680,1607151400.040,6.360,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_seg03a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_seg03a.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_seg03a.avi
VisTouch_brass_f6_r1_v1_seg03b,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,half,fall,seg03,seg03b,train,1607151400.040,1607151403.940,3.900,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_seg03b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_seg03b.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_seg03b.avi
VisTouch_brass_f6_r1_v1_seg04a,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,half,rise,seg04,seg04a,train,1607151403.940,1607151410.250,6.310,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_seg04a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_seg04a.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_seg04a.avi
VisTouch_brass_f6_r1_v1_seg04b,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,half,fall,seg04,seg04b,train,1607151410.250,1607151414.200,3.950,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_seg04b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_seg04b.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_seg04b.avi
VisTouch_brass_f6_r1_v1_seg05a,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,half,rise,seg05,seg05a,train,1607151414.200,1607151420.580,6.380,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_seg05a.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_seg05a.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_seg05a.avi
VisTouch_brass_f6_r1_v1_seg05b,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,half,fall,seg05,seg05b,train,1607151420.580,1607151424.500,3.920,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_seg05b.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_seg05b.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_seg05b.avi
VisTouch_brass_f6_r1_v1_idle02,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,idle,idle,,idle02,train,1607151424.500,1607151430.650,6.150,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_idle02.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_idle02.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_idle02.avi
VisTouch_brass_f6_r1_v1_idle03,brass_f6_r1_v1,brass,huangtong,黄铜,0,6,1,1,idle,idle,,idle03,train,1607151430.650,1607151436.800,6.150,../dataset20260818/audio/brass/VisTouch_brass_f6_r1_v1_idle03.wav,../dataset20260818/tactile/brass/VisTouch_brass_f6_r1_v1_idle03.csv,../dataset20260818/video/brass/VisTouch_brass_f6_r1_v1_idle03.avi
