session_id,material_english,force_n,slice_mode,segment_label,start_epoch,end_epoch,duration_s,audio_start_idx,audio_end_idx,tactile_row_start_idx,tactile_row_end_idx,video_frame_start,video_frame_end
brass_f3_r1_v1,brass,3,cycle,seg01,1607151147.920,1607151158.300,10.380,142720,308800,265,580,267,578
brass_f3_r1_v1,brass,3,cycle,seg02,1607151158.300,1607151168.620,10.320,308800,473920,581,899,578,887
brass_f3_r1_v1,brass,3,cycle,seg03,1607151168.620,1607151178.940,10.320,473920,639040,900,1221,887,1196
brass_f3_r1_v1,brass,3,cycle,seg04,1607151178.940,1607151189.260,10.320,639040,804160,1222,1540,1196,1505
brass_f3_r1_v1,brass,3,cycle,seg05,1607151189.260,1607151199.580,10.320,804160,969280,1541,1858,1505,1813
brass_f3_r1_v1,brass,3,sliding,wins01,1607151141.100,1607151148.100,7.000,33600,145600,46,270,63,272
brass_f3_r1_v1,brass,3,sliding,wins02,1607151144.600,1607151151.600,7.000,89600,201600,157,375,168,377
brass_f3_r1_v1,brass,3,sliding,wins03,1607151148.100,1607151155.100,7.000,145600,257600,270,483,272,482
brass_f3_r1_v1,brass,3,sliding,wins04,1607151151.600,1607151158.600,7.000,201600,313600,376,590,377,587
brass_f3_r1_v1,brass,3,sliding,wins05,1607151155.100,1607151162.100,7.000,257600,369600,484,697,482,691
brass_f3_r1_v1,brass,3,sliding,wins06,1607151158.600,1607151165.600,7.000,313600,425600,591,805,587,796
brass_f3_r1_v1,brass,3,sliding,wins07,1607151162.100,1607151169.100,7.000,369600,481600,698,914,691,901
brass_f3_r1_v1,brass,3,sliding,wins08,1607151165.600,1607151172.600,7.000,425600,537600,805,1023,796,1006
brass_f3_r1_v1,brass,3,sliding,wins09,1607151169.100,1607151176.100,7.000,481600,593600,914,1132,901,1111
brass_f3_r1_v1,brass,3,sliding,wins10,1607151172.600,1607151179.600,7.000,537600,649600,1024,1241,1006,1215
brass_f3_r1_v1,brass,3,sliding,wins11,1607151176.100,1607151183.100,7.000,593600,705600,1133,1349,1111,1320
brass_f3_r1_v1,brass,3,sliding,wins12,1607151179.600,1607151186.600,7.000,649600,761600,1241,1457,1215,1425
brass_f3_r1_v1,brass,3,sliding,wins13,1607151183.100,1607151190.100,7.000,705600,817600,1350,1566,1320,1530
