session_id,material_pinyin,material_english,material_chinese,force_n,path_type,camera_view,raw_audio_filename,raw_tactile_filename,raw_video_filename,naming_notes,audio_start_unix,audio_end_unix,audio_duration_s,audio_sample_rate_hz,audio_nframes,tactile_rows,tactile_first_ts_unix,tactile_last_ts_unix,tactile_duration_s,tactile_est_fs_hz,video_frame_count,video_fps,video_width,video_height,video_duration_s
brass_f3_r1_v1,huangtong,brass,黄铜,3,1,1,huangtong\huangtong_f3r1v1.wav,huangtong_f3r1v1.csv,huangtong\huangtong_f3r1v1.avi,,1607151139,1607151216,76.992,16000,1231872,2277,1607151139,1607151213,74,30.77,2306,30.0,640,480,76.867
brass_f6_r1_v1,huangtong,brass,黄铜,6,1,1,huangtong\huangtong_f6r1v1.wav,huangtong_f6r1v1.csv,huangtong\huangtong_f6r1v1.avi,,1607151365,1607151442,76.992,16000,1231872,3398,1607151367,1607151436,69,49.25,2301,30.0,640,480,76.7
brass_f9_r1_v1,huangtong,brass,黄铜,9,1,1,huangtong\huangtong_f9r1v1.wav,huangtong_f9r1v1.csv,huangtong\huangtong_f9r1v1.avi,,1607152506,1607152581,74.944,16000,1199104,2181,1607152506,1607152577,71,30.72,2239,30.0,640,480,74.633
linen_f3_r1_v1,mabu,linen,麻布,3,1,1,mabu\mabu_f3r1v1.wav,mabu_f3r1v1.csv,mabu\mabu_f3r1v1.avi,,1607135153,1607135230,76.992,16000,1231872,2285,1607135154,1607135228,74,30.88,2276,30.0,640,480,75.867
linen_f6_r1_v1,mabu,linen,麻布,6,1,1,mabu\mabu_f6r1v1.wav,mabu_f6r1v1.csv,mabu\mabu_f6r1v1.avi,,1607135338,1607135415,76.992,16000,1231872,2624,1607135340,1607135414,74,35.46,2297,30.0,640,480,76.567
linen_f9_r1_v1,mabu,linen,麻布,9,1,1,mabu\mabu_f9r1v1.wav,mabu_f9r1v1.csv,mabu\mabu_f9r1v1.avi,,1607135570,1607135647,76.992,16000,1231872,8994,1607135572,1607135644,72,124.92,2316,30.0,640,480,77.2
paper_f3_r1_v1,baizhi,paper,白纸,3,1,1,baizhi\baizhi_f3r1v1.wav,baizhi_f3r1v1.csv,baizhi\baizhi_f3r1v1.avi,,1607158612,1607158687,74.944,16000,1199104,8267,1607158614,1607158681,67,123.39,2233,30.0,640,480,74.433
paper_f6_r1_v1,baizhi,paper,白纸,6,1,1,baizhi\baizhi_f6r1v1.wav,baizhi_f6r1v1.csv,baizhi\baizhi_f6r1v1.avi,,1607158247,1607158322,74.944,16000,1199104,8675,1607158249,1607158318,69,125.72,2237,30.0,640,480,74.567
paper_f9_r1_v1,baizhi,paper,白纸,9,1,1,baizhi\baizhi_f9r1v1.wav,baizhi_f9r1v1.csv,baizhi\baizhi_f9r1v1.avi,,1607158447,1607158522,74.944,16000,1199104,2230,1607158445,1607158516,71,31.41,2241,30.0,640,480,74.7
polyester_f3_r1_v1,dilun,polyester,涤纶,3,1,1,dilun\dilun_f3r1v1.wav,dilun_f3r1v1.csv,dilun\dilun_f3r1v1.avi,,1607155497,1607155572,74.944,16000,1199104,8711,1607155498,1607155568,70,124.44,2221,30.0,640,480,74.033
polyester_f6_r1_v1,dilun,polyester,涤纶,6,1,1,dilun\dilun_f6r1v1.wav,dilun_f6r1v1.csv,dilun\dilun_f6r1v1.avi,,1607155715,1607155790,74.944,16000,1199104,2156,1607155716,1607155786,70,30.8,2258,30.0,640,480,75.267
polyester_f9_r1_v1,dilun,polyester,涤纶,9,1,1,dilun\dilun_f9r1v1.wav,dilun_f9r1v1.csv,dilun\dilun_f9r1v1.avi,,1607155860,1607155935,74.944,16000,1199104,8509,1607155859,1607155928,69,123.32,2259,30.0,640,480,75.3
silk_f3_r1_v1,sichou,silk,丝绸,3,1,1,sichou\sichou_f3r1v1.wav,sichou_f3r1v1.csv,sichou\sichou_f3r1v1.avi,,1607154126,1607154201,74.944,16000,1199104,8550,1607154128,1607154197,69,123.91,2238,30.0,640,480,74.6
silk_f6_r1_v1,sichou,silk,丝绸,6,1,1,sichou\sichou_f6r1v1.wav,sichou_f6r1v1.csv,sichou\sichou_f6r1v1.avi,,1607154288,1607154362,74.944,16000,1199104,8763,1607154290,1607154358,68,128.87,2256,30.0,640,480,75.2
